Model 1 (k=1000),Model 2 (k=50000),Model 3 (k=100000),Model 4 (k=500000),Model 5 (k=1000000)
941.0,46339.0,91258.0,462631.0,924091.0
902.0,46332.0,92762.0,459966.0,926330.0
880.0,46134.0,92317.0,463131.0,923650.0
899.0,46134.0,92147.0,461872.0,924682.0
954.0,45682.0,92897.0,461084.0,924309.0
916.0,45933.0,92632.0,461971.0,925326.0
914.0,46543.0,91864.0,462887.0,924656.0
960.0,46507.0,92358.0,460922.0,922785.0
925.0,46030.0,92309.0,462012.0,922366.0
918.0,46089.0,92555.0,461997.0,922839.0
928.0,46147.0,93012.0,461163.0,923710.0
861.0,46179.0,91921.0,461542.0,922720.0
927.0,45896.0,92607.0,460749.0,925021.0
905.0,46329.0,92756.0,461388.0,921738.0
927.0,45692.0,91999.0,461901.0,921317.0
946.0,45786.0,92250.0,461501.0,921649.0
912.0,46384.0,92646.0,460490.0,922052.0
947.0,45872.0,92032.0,461224.0,922468.0
909.0,45884.0,92593.0,460720.0,921369.0
909.0,45851.0,91865.0,460774.0,921840.0
924.0,46125.0,91586.0,460526.0,922632.0
908.0,45959.0,92068.0,460563.0,920965.0
